Commune,Total,x,y,ID
Aeugst am Albis,1970,8.4897,47.27541,906
Affoltern am Albis,11494,8.45128,47.27743,906
Bonstetten,5315,8.46625,47.31665,907
Hausen am Albis,3450,8.53299,47.24496,937
Hedingen,3642,8.44833,47.29794,906
Kappel am Albis,1031,8.52727,47.22811,937
Knonau,2089,8.46197,47.2235,905
Maschwanden,638,8.42709,47.23431,877
Mettmenstetten,4610,8.46347,47.24529,905
Obfelden,4977,8.4215,47.26413,877
Ottenbach,2546,8.40942,47.28147,878
Rifferswil,1056,8.49692,47.24372,905
Stallikon,3442,8.48965,47.32582,907
Wettswil am Albis,4868,8.46993,47.33727,907
Adlikon,662,8.69148,47.5823,1010
Benken (ZH),850,8.65391,47.65276,1012
Berg am Irchel,571,8.59678,47.56951,977
Buch am Irchel,951,8.62744,47.548,976
Dachsen,1968,8.6179,47.66515,979
Feuerthalen,3498,8.64357,47.69054,979
Flaach,1349,8.60633,47.57608,977
Flurlingen,1428,8.62995,47.6839,979
Andelfingen,2153,8.68124,47.61328,1011
Henggart,2240,8.68215,47.56272,1010
Humlikon,497,8.67007,47.57641,1010
Kleinandelfingen,2055,8.68362,47.60058,1011
Laufen-Uhwiesen,1616,8.64354,47.67025,1012
Marthalen,1935,8.65326,47.62913,1011
Oberstammheim,1166,8.79963,47.63244,1078
Ossingen,1408,8.72781,47.61175,1045
Thalheim an der Thur,900,8.7512,47.57822,1044
Trüllikon,1010,8.68919,47.63539,1011
Truttikon,471,8.72718,47.62908,1045
Unterstammheim,914,8.79064,47.63921,1079
Volken,334,8.62579,47.57482,977
Waltalingen,668,8.77821,47.62203,1045
Bachenbülach,3994,8.54556,47.50317,942
Bassersdorf,11494,8.62851,47.44342,974
Bülach,19035,8.56764,47.49706,942
Dietlikon,7547,8.6188,47.41827,974
Eglisau,4972,8.52122,47.57738,943
Embrach,9050,8.59406,47.50561,975
Freienstein-Teufen,2267,8.59045,47.53575,976
Glattfelden,4881,8.50167,47.55871,911
Hochfelden,1978,8.50895,47.52843,911
Höri,2605,8.50244,47.5075,910
Hüntwangen,1013,8.49116,47.59576,912
Kloten,18209,8.58491,47.45152,974
Lufingen,2057,8.59428,47.49108,975
Nürensdorf,5428,8.64908,47.44814,1008
Oberembrach,1052,8.61828,47.4878,975
Opfikon,18389,8.57588,47.43169,974
Rafz,4319,8.54305,47.60438,944
Rorbas,2730,8.57555,47.53092,976
Wallisellen,15446,8.59672,47.41499,974
Wasterkingen,570,8.47121,47.58956,912
Wil (ZH),1366,8.50815,47.60447,912
Bachs,580,8.43942,47.52385,882
Boppelsen,1320,8.40614,47.46945,881
Buchs (ZH),6233,8.43661,47.45876,881
Dällikon,3930,8.43243,47.43938,881
Dänikon,1881,8.40648,47.44674,881
Dielsdorf,5881,8.45631,47.47181,910
Hüttikon,877,8.38807,47.4426,881
Neerach,3030,8.47099,47.51096,911
Niederglatt,4697,8.49987,47.49066,910
Niederhasli,8991,8.48576,47.48012,910
Niederweningen,2824,8.37711,47.50614,882
Oberglatt,6752,8.51896,47.47576,941
Oberweningen,1783,8.40702,47.50226,882
Otelfingen,2741,8.39141,47.46053,881
Regensberg,467,8.43791,47.48295,910
Regensdorf,17843,8.46874,47.4341,909
Rümlang,7625,8.52993,47.45041,941
Schleinikon,712,8.39748,47.49747,882
Schöfflisdorf,1380,8.41754,47.5003,882
Stadel,2180,8.46353,47.5294,911
Steinmaur,3332,8.45216,47.4971,910
Weiach,1368,8.43344,47.55908,883
Bäretswil,4920,8.85645,47.33709,1107
Bubikon,6947,8.8179,47.26698,1071
Dürnten,7299,8.84156,47.27856,1106
Fischenthal,2386,8.92052,47.33122,1144
Gossau (ZH),9662,8.75831,47.3051,1039
Grüningen,3338,8.75,47.28333,1038
Hinwil,10807,8.83431,47.29646,1072
Rüti (ZH),11793,8.85552,47.25603,1106
Seegräben,1422,8.77131,47.34124,1073
Wald (ZH),9284,8.91405,47.27595,1143
Wetzikon (ZH),23985,8.79779,47.3264,1073
Adliswil,18382,8.52462,47.30997,938
Hirzel,2136,8.6,47.21667,970
Horgen,19794,8.59778,47.25983,971
Hütten,886,8.66655,47.17573,1003
Kilchberg (ZH),8057,8.54548,47.32438,938
Langnau am Albis,7364,8.5411,47.28885,938
Oberrieden,4973,8.57838,47.27444,971
Richterswil,13053,8.69686,47.20622,1003
Rüschlikon,5583,8.55135,47.30688,938
Schönenberg (ZH),1836,8.64494,47.19182,1003
Thalwil,17578,8.56351,47.29175,938
Wädenswil,21324,8.6687,47.22683,1004
Erlenbach (ZH),5375,8.59743,47.30298,972
Herrliberg,6196,8.61464,47.29064,971
Hombrechtikon,8336,8.77212,47.25298,1071
Küsnacht (ZH),13556,8.58401,47.31805,972
Männedorf,10416,8.69893,47.25686,1004
Meilen,13242,8.64617,47.27232,971
Oetwil am See,4611,8.72023,47.27049,1038
Stäfa,13930,8.72342,47.24254,1037
Uetikon am See,5909,8.67925,47.26441,1004
Zumikon,5116,8.62271,47.33158,972
Zollikon,12529,8.57407,47.34019,972
Fehraltorf,6254,8.75149,47.38775,1040
Hittnau,3589,8.82418,47.36334,1073
Illnau-Effretikon,16141,8.71605,47.42293,1041
Kyburg,405,8.74476,47.45569,1041
Pfäffikon,11296,8.79202,47.36453,1073
Russikon,4255,8.77515,47.39669,1074
Weisslingen,3216,8.76787,47.43063,1041
Wildberg,999,8.81669,47.42585,1074
Dübendorf,26297,8.61872,47.39724,973
Fällanden,8305,8.63869,47.37169,973
Greifensee,5316,8.68124,47.3484,1006
Mönchaltorf,3618,8.72029,47.30958,1039
Schwerzenbach,4947,8.65727,47.38213,1007
Uster,33462,8.72091,47.34713,1039
Volketswil,18349,8.69085,47.39016,1007
Wangen-Brüttisellen,7677,8.63263,47.42173,974
Altikon,646,8.78282,47.57404,1077
Brütten,2002,8.67569,47.47318,1008
Dägerlen,1004,8.72147,47.56073,1010
Dättlikon,742,8.6245,47.52493,976
Dinhard,1483,8.76667,47.55,1043
Elgg,4169,8.86523,47.49715,1110
Ellikon an der Thur,879,8.82331,47.56298,1077
Elsau,3458,8.80792,47.5026,1076
Hagenbuch,1102,8.8892,47.52035,1111
Hettlingen,3094,8.70532,47.5461,1010
Hofstetten (ZH),475,8.85401,47.47242,1110
Neftenbach,5484,8.6649,47.52764,1009
Pfungen,3736,8.6423,47.51394,1009
Rickenbach (ZH),2576,8.79654,47.55191,1077
Schlatt (ZH),737,8.82705,47.47067,1075
Seuzach,7132,8.73209,47.5356,1043
Turbenthal,4420,8.84629,47.43633,1109
Winterthur,106349,8.72413,47.50564,1042
Zell (ZH),5594,8.82176,47.44607,1075
Aesch (ZH),1192,8.44099,47.33674,907
Birmensdorf (ZH),6186,8.44256,47.35515,879
Dietikon,26201,8.40015,47.40165,880
Geroldswil,4809,8.41085,47.42213,880
Oberengstringen,6461,8.46515,47.40841,909
Oetwil an der Limmat,2333,8.39491,47.42832,880
Schlieren,18063,8.44763,47.39668,908
Uitikon,4063,8.45699,47.36911,908
Unterengstringen,3601,8.44761,47.41396,880
Urdorf,9541,8.42581,47.38507,880
Weiningen (ZH),4478,8.43644,47.42022,880
Zürich,382623,8.55,47.36667,939
Bauma,4764,8.87905,47.36745,1108
Wiesendangen,6162,8.78967,47.5217,1076
Aarberg,4478,7.27578,47.04439,362
Bargen (BE),988,7.2686,47.06015,363
Grossaffoltern,2950,7.36232,47.06595,393
Kallnach,1877,7.23545,47.02032,332
Kappelen,1316,7.2686,47.06015,363
Lyss,14171,7.30655,47.0741,363
Meikirch,2356,7.36639,47.00719,392
Radelfingen,1246,7.27178,47.02146,362
Rapperswil (BE),2395,7.41088,47.06316,423
Schüpfen,3679,7.37723,47.03661,393
Seedorf (BE),2954,7.31249,47.03445,362
Aarwangen,4327,7.76854,47.23845,588
Auswil,457,7.83525,47.13653,618
Bannwil,695,7.73101,47.23405,588
Bleienbach,670,7.7563,47.18493,587
Busswil bei Melchnau,169,7.82944,47.18767,619
Gondiswil,731,7.87136,47.14677,652
Langenthal,15144,7.79607,47.21526,620
Lotzwil,2465,7.79102,47.19135,619
Madiswil,3165,7.79858,47.16463,619
Melchnau,1530,7.85128,47.18213,619
Obersteckholz,402,7.81706,47.19931,619
Oeschenbach,238,7.74756,47.10287,585
Reisiswil,187,7.84628,47.16513,619
Roggwil (BE),3869,7.82141,47.24119,620
Rohrbachgraben,392,7.80044,47.11934,618
Rütschelen,557,7.77109,47.17322,586
Schwarzhäusern,494,7.76552,47.25173,588
Thunstetten,3219,7.75746,47.20275,587
Ursenbach,894,7.77193,47.13696,586
Wynau,1596,7.81626,47.2557,621
Bern,126385,7.44744,46.94809,451
Bolligen,6074,7.49697,46.9751,452
Bremgarten bei Bern,4315,7.43545,46.97811,421
Kirchlindach,2830,7.41735,46.99965,422
Köniz,39599,7.41457,46.92436,420
Muri bei Bern,12580,7.48658,46.93122,451
Oberbalm,882,7.4028,46.87363,419
Stettlen,3129,7.52508,46.95835,483
Vechigen,5184,7.56065,46.94616,483
Wohlen bei Bern,8920,7.35593,46.97113,392
Zollikofen,9961,7.45809,46.99905,452
Ittigen,11111,7.48281,46.97434,452
Ostermundigen,16479,7.49019,46.95694,451
Biel/Bienne,53159,7.24608,47.13713,335
Evilard,2512,7.23755,47.14969,335
Büetigen,823,7.34119,47.10656,394
Büren an der Aare,3469,7.3722,47.13976,395
Diessbach bei Büren,981,7.36122,47.1078,394
Dotzigen,1452,7.34558,47.12167,394
Lengnau (BE),4896,7.36814,47.18155,396
Leuzigen,1238,7.45775,47.17458,425
Meienried,52,7.34137,47.13868,395
Meinisberg,1312,7.34801,47.15965,395
Oberwil bei Büren,822,7.41141,47.13072,424
Pieterlen,3969,7.33791,47.17501,395
Rüti bei Büren,829,7.40307,47.15167,425
Wengi,601,7.39926,47.08386,423
Aefligen,1057,7.55175,47.09571,485
Alchenstorf,595,7.63785,47.12537,552
Bäriswil,1010,7.52709,47.01947,484
Burgdorf,15918,7.62786,47.05901,517
Ersigen,1667,7.59507,47.09368,518
Hasle bei Burgdorf,3276,7.65112,47.01436,550
Heimiswil,1580,7.66665,47.06755,551
Hellsau,201,7.65175,47.14583,519
Hindelbank,2392,7.54143,47.0427,484
Höchstetten,266,7.63134,47.14505,519
Kernenried,524,7.54679,47.06968,485
Kirchberg (BE),5727,7.58288,47.08538,518
Koppigen,2085,7.59875,47.13385,519
Krauchthal,2304,7.5664,47.00964,484
Lyssach,1399,7.58228,47.06445,485
Mötschwil,133,7.5694,47.04581,484
Niederösch,233,7.61587,47.11576,518
Oberburg,2866,7.62652,47.03774,517
Oberösch,102,7.60805,47.10955,518
Rüdtligen-Alchenflüh,2411,7.56866,47.08486,485
Rumendingen,83,7.6394,47.10588,518
Rüti bei Lyssach,169,7.58246,47.05446,517
Willadingen,202,7.61112,47.14667,519
Wynigen,1974,7.66681,47.10586,552
Corgémont,1651,7.14517,47.19457,304
Cormoret,481,7.05421,47.17078,239
Cortébert,703,7.10891,47.18825,272
Courtelary,1346,7.08278,47.17153,271
Mont-Tramelan,115,7.06477,47.20999,272
Orvin,1185,7.21368,47.16068,335
Renan (BE),882,6.92825,47.12686,178
Romont (BE),195,7.34063,47.18865,396
Saint-Imier,4970,6.99692,47.15284,206
Sonceboz-Sombeval,1893,7.17751,47.19654,304
Sonvilier,1233,6.96404,47.13883,206
Tramelan,4333,7.0995,47.22393,272
Villeret,913,7.01889,47.15838,239
Brüttelen,561,7.14793,47.02269,301
Erlach,1399,7.0996,47.04297,269
Finsterhennen,526,7.17536,47.02483,301
Gals,767,7.05183,47.02841,236
Gampelen,829,7.05994,47.01499,236
Ins,3402,7.10609,47.00584,268
Lüscherz,526,7.15266,47.04461,301
Müntschemier,1319,7.14636,46.99493,300
Siselen,574,7.19119,47.03251,333
Treiten,430,7.16025,47.00859,301
Tschugg,440,7.08103,47.02534,269
Vinelz,850,7.11606,47.034,269
Bangerten,160,7.44914,47.05564,453
Bätterkinden,3147,7.54103,47.13363,486
Deisswil bei Münchenbuchsee,81,7.45337,47.03717,453
Diemerswil,202,7.42051,47.02009,422
Fraubrunnen,4844,7.5029,47.0678,453
Jegenstorf,5526,7.50787,47.04802,453
Iffwil,417,7.48286,47.06396,453
Mattstetten,557,7.51888,47.02817,484
Moosseedorf,3958,7.47811,47.01562,452
Münchenbuchsee,9816,7.45036,47.02175,422
Urtenen-Schönbühl,6148,7.49989,47.02088,452
Utzenstorf,4151,7.55838,47.12981,486
Wiggiswil,98,7.47086,47.03131,453
Wiler bei Utzenstorf,869,7.55657,47.15059,486
Zielebach,321,7.57291,47.15803,487
Zuzwil (BE),565,7.46806,47.05112,453
Adelboden,3381,7.56031,46.49142,474
Aeschi bei Spiez,2183,7.6965,46.65848,543
Frutigen,6746,7.67566,46.56761,541
Kandergrund,773,7.659,46.56212,541
Kandersteg,1272,7.67326,46.49467,540
Krattigen,1063,7.72777,46.66139,577
Reichenbach im Kandertal,3501,7.69362,46.62541,542
Beatenberg,1147,7.79428,46.69896,610
Bönigen,2489,7.8935,46.68736,643
Brienz (BE),3018,8.03847,46.7545,736
Brienzwiler,470,8.10139,46.75084,736
Därligen,407,7.80808,46.66175,609
Grindelwald,3711,8.03601,46.62396,704
Gsteigwiler,392,7.87188,46.65545,642
Gündlischwand,341,7.91269,46.6322,642
Habkern,635,7.86304,46.72639,644
Hofstetten bei Brienz,535,8.07487,46.75351,736
Interlaken,5571,7.86638,46.68387,643
Iseltwald,416,7.96415,46.71076,675
Lauterbrunnen,2408,7.90765,46.59568,673
Leissigen,1000,7.77548,46.6546,609
Lütschental,217,7.9499,46.63727,674
Matten bei Interlaken,3861,7.86889,46.67833,643
Niederried bei Interlaken,346,7.92549,46.72547,675
Oberried am Brienzersee,446,7.95925,46.73633,676
Ringgenberg (BE),2603,7.89445,46.70114,643
Saxeten,97,7.83087,46.63658,609
Schwanden bei Brienz,579,8.05582,46.77107,736
Unterseen,5591,7.84722,46.6853,643
Wilderswil,2603,7.86175,46.66369,643
Arni (BE),911,7.66473,46.93519,548
Biglen,1722,7.62508,46.92629,515
Bowil,1346,7.69757,46.89304,548
Brenzikofen,511,7.61713,46.81812,513
Freimettigen,465,7.63106,46.86636,514
Grosshöchstetten,3455,7.63782,46.90671,514
Häutligen,243,7.60671,46.8576,513
Herbligen,583,7.60632,46.8299,513
Kiesen,915,7.58402,46.81956,480
Konolfingen,5081,7.62013,46.87909,514
Landiswil,612,7.68027,46.95815,549
Mirchel,618,7.64993,46.89456,514
Münsingen,11632,7.561,46.87298,481
Niederhünigen,601,7.63857,46.87905,514
Oberdiessbach,3489,7.6173,46.84117,513
Oberthal,722,7.67569,46.91612,548
Oppligen,652,7.60074,46.81839,513
Rubigen,2909,7.5446,46.89868,482
Schlosswil,626,7.61171,46.90869,514
Tägertschi,385,7.58529,46.87548,514
Walkringen,1711,7.6204,46.94856,515
Worb,11229,7.56306,46.92984,482
Zäziwil,1617,7.66185,46.90196,548
Oberhünigen,311,7.65979,46.88096,547
Allmendingen,543,7.52439,46.91472,482
Wichtrach,4075,7.57748,46.8501,481
Clavaleyres,49,7.09282,46.8991,266
Ferenbalm,1218,7.21124,46.9488,331
Frauenkappelen,1192,7.33835,46.95425,391
Golaten,311,7.24406,46.98753,332
Gurbrü,246,7.21527,46.96485,331
Kriechenwil,422,7.21957,46.90969,330
Laupen,3027,7.23973,46.90214,330
Mühleberg,2833,7.26102,46.95466,361
Münchenwiler,480,7.1255,46.91109,299
Neuenegg,5137,7.30282,46.89416,360
Wileroltigen,383,7.23922,46.97094,332
Belprahon,306,7.40588,47.28635,427
Champoz,161,7.29531,47.2558,367
Corcelles (BE),210,7.45242,47.28488,427
Court,1404,7.33655,47.23956,397
Crémines,521,7.44032,47.28329,427
Eschert,371,7.40334,47.27503,427
Grandval,382,7.42504,47.28278,427
Loveresse,317,7.23881,47.24387,337
Moutier,7470,7.36951,47.27818,397
Perrefitte,432,7.34161,47.27568,397
Reconvilier,2286,7.22239,47.23431,337
Roches (BE),209,7.38127,47.30199,398
Saicourt,598,7.20745,47.24281,337
Saules (BE),158,7.22179,47.24575,337
Schelten,36,7.55171,47.33428,490
Seehof,66,7.52496,47.30467,489
Sorvilier,270,7.30841,47.23749,366
Tavannes,3544,7.19759,47.22079,336
Rebévelier,43,7.1923,47.29136,338
La Neuveville,3661,7.11089,47.0964,270
Nods,738,7.08105,47.11371,270
Plateau de Diesse,1954,7.11677,47.11314,270
Aegerten,1851,7.29164,47.12115,364
Bellmund,1617,7.24608,47.10852,334
Brügg,4229,7.27887,47.1237,364
Epsach,321,7.22173,47.07047,333
Hagneck,406,7.18532,47.05703,333
Hermrigen,300,7.24158,47.08166,334
Jens,672,7.26358,47.09632,363
Ipsach,3917,7.23029,47.11389,334
Ligerz,543,7.13476,47.08368,302
Merzligen,400,7.25376,47.08729,363
Mörigen,832,7.21413,47.0851,334
Nidau,6788,7.24033,47.12545,335
Orpund,2641,7.30775,47.13891,364
Safnern,1925,7.32314,47.14996,395
Scheuren,447,7.32089,47.13471,364
Schwadernau,653,7.30778,47.1278,364
Studen (BE),3075,7.30323,47.11305,364
Sutz-Lattrigen,1390,7.22008,47.09832,334
Täuffelen,2719,7.19704,47.06524,333
Walperswil,986,7.226,47.06083,333
Worben,2253,7.29518,47.10279,364
Twann-Tüscherz,1146,7.19418,47.11412,334
Därstetten,825,7.49111,46.65948,446
Diemtigen,2145,7.56477,46.64928,477
Erlenbach im Simmental,1681,7.55445,46.66021,477
Oberwil im Simmental,803,7.43513,46.65688,415
Reutigen,985,7.62102,46.69363,510
Spiez,12306,7.69111,46.68473,544
Wimmis,2396,7.63972,46.67587,510
Stocken-Höfen,976,7.56461,46.71137,478
Guttannen,291,8.28951,46.65511,840
Hasliberg,1111,8.22839,46.74645,792
Innertkirchen,1032,8.22876,46.70467,791
Meiringen,4642,8.1872,46.72709,791
Schattenhalb,574,8.19074,46.71903,791
Boltigen,1271,7.39111,46.6289,385
Lenk,2356,7.44298,46.45826,411
St. Stephan,1314,7.39386,46.51168,412
Zweisimmen,2948,7.37385,46.55452,413
Gsteig,967,7.26751,46.38585,350
Lauenen,825,7.3217,46.42437,381
Saanen,6802,7.25961,46.48956,352
Guggisberg,1525,7.32946,46.76756,388
Rüschegg,1589,7.39167,46.77977,417
Schwarzenburg,6763,7.3375,46.79861,388
Belp,11384,7.49825,46.89129,450
Burgistein,1039,7.49988,46.78464,448
Gelterfingen,267,7.51564,46.84449,449
Gerzensee,1148,7.54503,46.84023,481
Gurzelen,845,7.54264,46.77644,479
Jaberg,250,7.56919,46.81796,480
Kaufdorf,1055,7.49679,46.84032,449
Kehrsatz,4181,7.47096,46.91035,450
Kirchdorf (BE),950,7.54847,46.82085,480
Kirchenthurnen,274,7.50054,46.82375,449
Lohnstorf,231,7.50987,46.80771,480
Mühledorf (BE),240,7.52994,46.82798,480
Mühlethurnen,1377,7.50881,46.81345,480
Niedermuhlern,458,7.46581,46.8606,449
Noflen,299,7.5433,46.8056,480
Riggisberg,2370,7.48014,46.81028,448
Rüeggisberg,1782,7.4389,46.82216,418
Rümligen,434,7.48861,46.82786,449
Seftigen,2185,7.53937,46.78765,479
Toffen,2497,7.49216,46.86031,449
Uttigen,1919,7.57789,46.79435,512
Wattenwil,2833,7.50835,46.76973,448
Wald (BE),1168,7.45919,46.8825,450
Eggiwil,2387,7.79567,46.87575,613
Langnau im Emmental,8915,7.78738,46.93936,614
Lauperswil,2630,7.74214,46.96564,582
Röthenbach im Emmental,1185,7.74251,46.85425,580
Rüderswil,2291,7.72061,46.98415,583
Schangnau,889,7.85987,46.82784,646
Signau,2635,7.78725,46.9315,614
Trub,1306,7.87996,46.94168,648
Trubschachen,1369,7.8452,46.92228,614
Amsoldingen,799,7.58247,46.72754,511
Blumenstein,1198,7.52136,46.7421,479
Buchholterberg,1523,7.67463,46.81351,546
Eriz,484,7.77102,46.78773,579
Fahrni,784,7.65502,46.79401,546
Heiligenschwendi,697,7.68391,46.75109,545
Heimberg,6615,7.60433,46.79482,512
Hilterfingen,3963,7.66185,46.73521,544
Horrenbach-Buchen,236,7.77102,46.78773,579
Oberhofen am Thunersee,2381,7.66903,46.73148,544
Oberlangenegg,462,7.74181,46.80103,579
Pohlern,251,7.53525,46.72515,478
Schwendibach,230,7.66192,46.76993,545
Sigriswil,4634,7.71335,46.71656,544
Steffisburg,15467,7.63249,46.77807,512
Teuffenthal (BE),159,7.71142,46.76766,545
Thierachern,2399,7.57442,46.75319,479
Thun,42555,7.62166,46.75118,511
Uebeschi,669,7.54728,46.73948,479
Uetendorf,5924,7.57251,46.77392,479
Unterlangenegg,922,7.70125,46.79926,546
Wachseldorn,235,7.72507,46.82205,580
Zwieselberg,306,7.61669,46.71006,511
Forst-Längenbühl,763,7.52325,46.76468,479
Affoltern im Emmental,1132,7.7347,47.06529,584
Dürrenroth,1047,7.7913,47.08816,617
Eriswil,1332,7.85149,47.07816,651
Huttwil,4655,7.86209,47.11502,651
Lützelflüh,4017,7.69165,47.00757,550
Rüegsau,3150,7.69096,47.0381,550
Sumiswald,4910,7.74526,47.02747,584
Trachselwald,958,7.75123,47.05344,584
Walterswil (BE),512,7.77798,47.1122,585
Wyssachen,1144,7.82922,47.07851,617
Attiswil,1389,7.61353,47.24673,521
Berken,39,7.70594,47.22578,554
Bettenhausen,654,7.71575,47.17148,553
Farnern,202,7.61778,47.26693,521
Heimenhausen,1099,7.69957,47.20904,554
Hermiswil,96,7.70056,47.15593,553
Herzogenbuchsee,6883,7.7062,47.18795,553
Inkwil,616,7.6712,47.20103,553
Niederbipp,4487,7.69461,47.26613,555
Niederönz,1628,7.68047,47.18289,553
Oberbipp,1646,7.66359,47.2607,555
Ochlenberg,564,7.73603,47.14953,586
Rumisberg,461,7.6403,47.26415,521
Seeberg,1393,7.66567,47.15585,553
Thörigen,1082,7.72888,47.17306,586
Walliswil bei Niederbipp,222,7.69525,47.23614,554
Walliswil bei Wangen,567,7.6829,47.22885,554
Wangen an der Aare,2237,7.65448,47.23199,554
Wangenried,420,7.65565,47.21713,554
Wiedlisbach,2234,7.6461,47.25194,521
Wolfisberg,187,7.65993,47.27485,555
Doppleschwand,737,8.05501,47.01831,741
Entlebuch,3293,8.03135,46.9627,710
Flühli,1636,8.01558,46.88391,709
Hasle (LU),1710,8.05326,46.97787,740
Romoos,665,8.02543,47.01093,711
Schüpfheim,4083,8.01723,46.95161,710
Werthenstein,1972,8.10182,47.05578,742
Escholzmatt-Marbach,4227,7.89966,46.85441,646
Aesch (LU),1068,8.2409,47.25637,827
Altwis,411,8.24781,47.23847,827
Ballwil,2719,8.32138,47.15487,850
Ermensee,888,8.23627,47.22781,801
Eschenbach (LU),3614,8.31964,47.13231,849
Hitzkirch,5085,8.26425,47.22403,826
Hochdorf,9339,8.26148,47.15196,825
Hohenrain,2514,8.31802,47.18083,850
Inwil,2384,8.34885,47.1253,849
Römerswil,1689,8.24643,47.16813,800
Adligenswil,5323,8.36124,47.06521,848
Buchrain,6070,8.34792,47.10175,849
Dierikon,1423,8.36948,47.09677,874
Ebikon,12934,8.34041,47.07937,848
Gisikon,1188,8.40356,47.12701,875
Greppen,1028,8.43034,47.05514,873
Honau,380,8.40811,47.13254,875
Horw,13392,8.30956,47.01692,847
Kriens,26537,8.27631,47.03537,823
Luzern,79250,8.30635,47.05048,823
Malters,6888,8.18193,47.03628,797
Meggen,6749,8.37221,47.05143,873
Meierskappel,1340,8.44436,47.12424,903
Root,4665,8.39021,47.11458,874
Udligenswil,2258,8.40335,47.09005,874
Vitznau,1306,8.4842,47.01014,901
Weggis,4132,8.43219,47.03208,873
Beromünster,6353,8.19265,47.20612,801
Büron,2336,8.09421,47.21206,745
Buttisholz,3218,8.09425,47.11442,743
Eich,1672,8.16695,47.15116,773
Geuensee,2829,8.10689,47.1997,774
Grosswangen,3084,8.04781,47.13282,743
Hildisrieden,2104,8.22582,47.15068,800
Knutwil,2117,8.07315,47.19953,744
Mauensee,1316,8.07589,47.1715,744
Neuenkirch,6568,8.20416,47.09989,799
Nottwil,3564,8.13712,47.13569,773
Oberkirch,4277,8.11567,47.15642,773
Rickenbach (LU),3142,8.17752,47.24836,775
Ruswil,6720,8.12645,47.08425,772
Schenkon,2721,8.14384,47.1683,773
Schlierbach,811,8.11066,47.22563,745
Sempach,4112,8.14978,47.14738,773
Sursee,9399,8.12719,47.14929,773
Triengen,4445,8.07729,47.23375,745
Wolhusen,4217,8.07389,47.05983,742
Alberswil,654,8.00313,47.14998,714
Altbüron,975,7.88123,47.18204,653
Altishofen,1541,7.96964,47.19916,715
Dagmersellen,5173,7.98466,47.21366,715
Ebersecken,394,7.93185,47.18286,684
Egolzwil,1406,8.00318,47.18411,715
Ettiswil,2599,8.01759,47.15031,714
Gettnau,1123,7.97007,47.14064,683
Grossdietwil,819,7.89141,47.16836,652
Hergiswil bei Willisau,1847,7.95799,47.08498,682
Luthern,1246,7.91692,47.05753,682
Menznau,2838,8.03971,47.08364,713
Nebikon,2535,7.97806,47.19257,715
Pfaffnau,2495,7.89719,47.22772,653
Reiden,6874,7.97135,47.24719,685
Roggliswil,648,7.88374,47.21353,653
Schötz,4147,7.9887,47.16896,714
Ufhusen,876,7.89623,47.11647,651
Wauwil,1952,8.021,47.18457,715
Wikon,1448,7.96801,47.26339,686
Zell (LU),1969,7.92495,47.13673,683
Willisau,7551,7.96775,47.17125,684
Altdorf (UR),8953,8.64441,46.88042,997
Andermatt,1365,8.59388,46.63565,959
Attinghausen,1612,8.63036,46.86255,963
Bauen,158,8.57277,46.92891,964
Bürglen (UR),3911,8.66539,46.87565,997
Erstfeld,3688,8.65052,46.81885,996
Flüelen,1946,8.62396,46.90478,964
Göschenen,423,8.58709,46.66816,959
Gurtnellen,575,8.62468,46.74007,961
Hospental,194,8.56977,46.61956,958
Isenthal,505,8.56121,46.91079,964
Realp,141,8.50282,46.59821,924
Schattdorf,4928,8.65465,46.8655,997
Seedorf (UR),1786,8.61611,46.88199,963
Seelisberg,634,8.58689,46.97302,965
Silenen,2077,8.75168,46.77693,1062
Sisikon,375,8.62003,46.94915,965
Spiringen,842,8.73017,46.87259,1030
Unterschächen,696,8.76923,46.86281,1064
Wassen,403,8.59881,46.70651,960
Einsiedeln,14782,8.74735,47.12849,1035
Gersau,2201,8.51678,47.008,932
Feusisberg,5066,8.74724,47.18707,1036
Freienbach,15786,8.75842,47.20534,1037
Wollerau,6985,8.71903,47.19478,1036
Küssnacht (SZ),12192,8.44206,47.08557,902
Altendorf,6637,8.83823,47.18994,1070
Galgenen,5083,8.87046,47.18226,1104
Innerthal,191,8.92011,47.10567,1139
Lachen,8357,8.85432,47.19927,1105
Reichenburg,3389,8.97704,47.17097,1176
Schübelbach,8916,8.92811,47.17326,1141
Tuggen,3186,8.94896,47.20291,1141
Vorderthal,996,8.90225,47.12172,1103
Wangen (SZ),4784,8.89498,47.19082,1141
Alpthal,591,8.71602,47.06954,1034
Arth,11439,8.52349,47.06337,933
Illgau,785,8.72509,46.98764,1032
Ingenbohl,8256,8.61529,46.9988,966
Lauerz,1096,8.58118,47.03528,966
Morschach,1112,8.61826,46.98271,965
Muotathal,3431,8.76499,46.97676,1066
Oberiberg,865,8.78676,47.04074,1067
Riemenstalden,89,8.66525,46.94712,998
Rothenthurm,2289,8.67585,47.1042,1001
Sattel,1909,8.63565,47.08246,1001
Schwyz,14570,8.65414,47.02076,1000
Steinen,3272,8.61214,47.04975,967
Steinerberg,902,8.58399,47.05206,967
Unteriberg,2306,8.8052,47.06258,1067
Alpnach,5830,8.2718,46.94227,821
Engelberg,4021,8.40133,46.82107,869
Giswil,3542,8.18065,46.83333,793
Kerns,5917,8.27528,46.90134,820
Lungern,2107,8.15984,46.78578,766
