Commune,Total,x,y,ID
Unterentfelden,4035,8.0427,47.36836,718
Bellikon,1540,8.34934,47.3916,854
Bergdietikon,2678,8.38624,47.38921,880
Birmenstorf (AG),2896,8.24816,47.46152,831
Ennetbaden,3290,8.32399,47.48055,856
Fislisbach,5470,8.29687,47.43904,831
Freienwil,975,8.32768,47.50297,856
Gebenstorf,4941,8.23949,47.48136,806
Killwangen,1940,8.34805,47.43182,855
Künten,1659,8.33105,47.3889,854
Mägenwil,2061,8.23297,47.41252,805
Mellingen,5291,8.27331,47.41903,830
Neuenhof,8705,8.32577,47.4526,855
Niederrohrdorf,3663,8.30643,47.42352,830
Oberrohrdorf,4006,8.32051,47.42513,855
Obersiggenthal,8493,8.29652,47.4875,832
Remetschwil,2037,8.33192,47.40832,855
Spreitenbach,11139,8.36301,47.42016,855
Stetten (AG),2132,8.30189,47.40166,830
Turgi,2949,8.25412,47.49201,832
Untersiggenthal,7060,8.25554,47.50213,832
Wettingen,19961,8.31636,47.47049,856
Wohlenschwil,1498,8.25726,47.41368,830
Würenlingen,4544,8.25666,47.53356,832
Würenlos,6133,8.36439,47.44208,855
Ehrendingen,4707,8.34729,47.5025,856
Arni (AG),1830,8.42465,47.31821,878
Berikon,4553,8.37209,47.35137,879
Bremgarten (AG),7703,8.34214,47.35109,853
Büttikon,975,8.26946,47.32856,828
Dottikon,3848,8.23981,47.38437,804
Eggenwil,946,8.33948,47.3704,854
Fischbach-Göslikon,1620,8.31108,47.36912,854
Hägglingen,2391,8.25323,47.38849,830
Jonen,2005,8.39337,47.2974,878
Niederwil (AG),2740,8.2923,47.38039,829
Oberlunkhofen,1904,8.39142,47.3115,878
Oberwil-Lieli,2194,8.38123,47.33382,853
Rudolfstetten-Friedlisberg,4355,8.38083,47.37101,879
Sarmenstorf,2776,8.24949,47.31022,828
Tägerig,1445,8.27677,47.40565,830
Uezwil,462,8.27163,47.3169,828
Unterlunkhofen,1294,8.38102,47.3212,878
Villmergen,6942,8.24583,47.34917,829
Wohlen (AG),15379,8.27877,47.35236,829
Zufikon,4339,8.36029,47.34756,853
Islisberg,629,8.44142,47.32203,907
Auenstein,1545,8.13455,47.41558,778
Birr,4359,8.20801,47.43587,805
Birrhard,695,8.24498,47.43285,805
Bözen,721,8.08333,47.49528,750
Brugg,11007,7.27887,47.1237,364
Effingen,609,8.10286,47.48868,750
Elfingen,276,8.10219,47.50998,750
Habsburg,407,8.18503,47.46228,779
Hausen (AG),3379,8.20988,47.46396,806
Lupfig,2280,8.20378,47.44069,805
Mandach,314,8.18903,47.54783,807
Mönthal,388,8.14035,47.517,780
Mülligen,1042,8.2392,47.45575,831
Remigen,1049,8.185,47.5186,780
Riniken,1458,8.18673,47.49395,806
Rüfenach,863,8.20903,47.50712,806
Scherz,648,8.18419,47.44687,805
Schinznach-Bad,1251,8.16833,47.44992,779
Thalheim (AG),799,8.10027,47.43534,749
Veltheim (AG),1427,8.14722,47.43796,779
Villigen,2008,8.21486,47.52682,807
Villnachern,1554,8.15975,47.47098,779
Windisch,7261,8.21842,47.47899,806
Bözberg,1557,8.15143,47.49549,780
Schinznach,2211,8.14089,47.4465,779
Beinwil am See,3005,8.20506,47.26059,802
Birrwil,1123,8.20004,47.2886,802
Burg (AG),966,8.17797,47.23389,801
Dürrenäsch,1208,8.1585,47.31812,776
Gontenschwil,2051,8.14396,47.27166,775
Holziken,1298,8.0343,47.31951,717
Leimbach (AG),470,8.17005,47.27487,802
Leutwil,754,8.17408,47.30826,776
Menziken,5799,8.19047,47.24249,801
Oberkulm,2639,8.12591,47.29839,776
Reinach (AG),8040,8.18845,47.25944,802
Schlossrued,807,8.0884,47.29119,746
Schmiedrued,1149,8.11167,47.26315,775
Schöftland,4168,8.05138,47.30572,717
Teufenthal (AG),1556,8.12074,47.32863,776
Unterkulm,2917,8.11371,47.30998,776
Zetzwil,1304,8.15095,47.28824,776
Eiken,2159,7.98883,47.53394,721
Frick,5233,8.02471,47.51169,721
Gansingen,984,8.13478,47.54444,781
Gipf-Oberfrick,3521,8.00497,47.49875,721
Herznach,1414,8.04751,47.47148,720
Hornussen,928,8.06125,47.50025,750
Kaisten,2564,8.04491,47.539,751
Laufenburg,3416,8.03878,47.51844,721
Münchwilen (AG),891,7.96409,47.53573,691
Oeschgen,934,8.01899,47.52307,721
Schwaderloch,672,8.14455,47.58541,781
Sisseln,1537,7.9917,47.55313,722
Ueken,894,8.04438,47.48452,750
Wittnau,1198,7.96607,47.47709,690
Wölflinswil,996,7.99835,47.4607,720
Zeihen,1094,8.08313,47.47536,750
Mettauertal,1915,8.14319,47.5618,781
Ammerswil,678,8.20737,47.36818,804
Boniswil,1400,8.18963,47.31725,803
Brunegg,727,8.2158,47.42125,805
Dintikon,2152,8.22181,47.3616,804
Egliswil,1332,8.18802,47.34954,803
Fahrwangen,1994,8.24215,47.29477,828
Hallwil,786,8.21577,47.28413,802
Hendschiken,1150,8.21782,47.38648,804
Holderbank (AG),1141,8.17063,47.43093,778
