stop_id,ID
8500387,656
8500388,657
8500453,487
8500454,456
8500455,488
8500456,457
8500457,488
8500458,487
8500459,519
8500460,519
8500461,519
8500462,519
8500463,519
8500464,553
8500465,553
8500466,519
8500467,488
8500468,520
8500476,553
8500477,553
8500478,520
8500479,553
8500480,554
8500485,520
8500487,488
8500488,520
8500490,488
8500494,488
8500497,519
8500498,488
8500550,806
8500551,779
8500552,806
8500553,779
8500554,780
8500555,806
8500556,781
8500557,781
8500558,780
8500559,806
8500560,781
8500561,807
8500562,806
8500563,806
8500564,806
8500565,779
8500566,807
8500567,749
8500568,780
8500569,780
8500570,779
8500571,779
8500572,807
8500573,779
8500574,778
8500575,779
8500576,806
8500577,806
8500578,806
8500579,780
8500580,779
8500581,779
8500582,750
8500583,721
8500584,691
8500585,751
8500586,690
8500588,751
8500589,751
8500591,749
8500592,749
8500593,720
8500595,750
8500596,655
8500597,556
8500598,656
8500599,719
8500650,399
8500651,428
8500652,339
8500653,275
8500654,400
8500655,459
8500656,242
8500657,307
8500658,307
8500659,339
8500660,339
8500662,245
8500663,459
8500664,400
8500665,458
8500666,398
8500667,399
8500668,368
8500669,399
8500671,368
8500673,492
8500674,556
8500676,397
8500677,277
8500679,461
8500680,397
8500681,625
8500682,495
8500683,806
8500684,488
8500685,589
8500686,460
8500687,719
8500688,429
8500689,429
8500690,660
8500691,525
8500692,526
8500693,558
8500695,461
8500697,461
8500698,521
8500699,489
8500700,240
8500701,457
8500710,601
8500711,493
8500729,305
8500730,42
8500731,43
8500732,35
8500733,35
8500734,50
8500736,43
8500737,43
8500738,43
8500739,188
8500740,138
8500742,161
8500743,188
8500745,188
8500746,188
8500748,161
8500750,488
8500751,306
8500752,491
8500753,557
8500754,492
8500755,491
8500756,240
8500757,491
8500758,306
8500759,208
8500760,521
8500761,522
8500762,589
8500763,590
8500764,523
8500765,524
8500766,523
8500767,780
8500768,523
8500769,241
8500770,523
8500772,690
8500773,489
8500774,556
8500775,558
8500776,780
8500777,781
8500778,657
8500779,657
8500780,689
8500781,657
8500782,689
8500783,626
8500784,781
8500785,781
8500786,806
8500787,806
8500788,806
8500789,660
8500791,660
8500792,721
8500793,690
8500794,720
8500795,720
8500796,720
8500797,522
8500798,522
8500799,592
8500850,592
8500851,558
8500852,557
8500853,560
8500854,560
8500855,592
8500857,591
8500858,593
8500859,592
8500860,274
8500861,306
8500862,659
8500863,241
8500864,307
8500865,274
8500866,274
8500867,306
8500868,274
8500869,274
8500872,527
8500873,590
8500874,241
8500875,307
8500876,241
8500877,274
8500878,338
8500879,307
8500880,307
8500881,306
8500882,306
8500883,273
8500884,273
8500885,273
8500886,273
8500887,273
8500888,272
8500889,272
8500890,272
8500891,240
8500892,239
8500893,239
8500894,239
8500895,239
8500897,527
8500898,527
8500899,527
8500936,315
8500937,315
8500938,314
8500939,314
8500940,314
8500941,314
8500942,314
8500943,314
8500944,343
8500945,373
8500946,314
8500947,373
8500948,373
8500949,697
8500950,806
8500953,806
8500954,460
8500955,522
8500956,525
8500957,459
8500958,460
8500960,625
8500961,659
8500962,659
8500963,658
8500964,658
8500965,689
8500966,689
8500967,491
8500969,524
8500970,626
8500971,558
8500972,558
8500973,690
8500975,750
8500976,750
8500977,720
8500978,750
8500979,779
8500980,625
8500981,524
8500982,750
8500983,751
8500984,593
8500985,559
8500986,621
8500987,659
8500988,308
8500989,590
8500990,456
8500991,488
8500992,621
8500993,559
8500994,527
8500996,658
8500997,658
8500998,658
8501000,6
8501001,3
8501002,3
8501003,6
8501006,6
8501007,12
8501008,12
8501011,12
8501012,22
8501013,23
8501014,23
8501015,23
8501020,12
8501021,22
8501022,22
8501023,23
8501026,12
8501030,34
8501031,35
8501033,43
8501035,50
8501036,57
8501037,68
8501042,57
8501045,79
8501047,68
8501048,68
8501053,34
8501054,68
8501055,16
8501056,25
8501057,26
8501058,35
8501059,34
8501060,9
8501061,16
8501062,26
8501063,26
8501064,35
8501065,35
8501066,35
8501067,25
8501068,25
8501069,34
8501071,41
8501075,90
8501077,165
8501078,120
8501079,141
8501080,58
8501081,58
8501082,58
8501083,58
