Code,ID
SY,6.0
SAX,284.0
SH,979.0
SCWE,1007.0
SHAU,1254.0
SIE,470.0
STA,1407.0
SBL,203.0
STG,1144.0
STN,967.0
STMR,910.0
STGI,120.0
STP,57.0
STSA,143.0
SU,308.0
SLG,1283.0
TLH,1044.0
TRIB,1222.0
UER,1037.0
UNT,1303.0
UZW,1250.0
COI,12.0
VZ,198.0
VIL,164.0
VTE,102.0
VU,80.0
WL,1143.0
WF,1220.0
WD,1043.0
WILA,1109.0
WSEE,1042.0
WWUE,1009.0
CHP,108.0
ZIM,6.0
ZK,939.0
ZGO,935.0
ZUE,939.0
ZSEB,940.0
ZSTH,939.0
ZTB,939.0
ZWIE,939.0
ZWD,912.0
RIEB,561.0
RSST,1383.0
RTR,655.0
RLG,657.0
RUET,1172.0
SAF,717.0
SCAE,1212.0
SCHN,1046.0
SCOE,718.0
SCHK,1076.0
SEM,799.0
SIB,1141.0
SIG,832.0
SIO,377.0
SO,488.0
SCB,304.0
STER,744.0
TEN,1085.0
TREY,171.0
TUI,12.0
TUR,536.0
UTW,1338.0
VSX,22.0
VOU,163.0
WCHW,934.0
WAL,1329.0
WO,829.0
WOS,870.0
ZOL,452.0
ZG,936.0
KMUE,904.0
ZEN,939.0
SBAD,779.0
SCHL,880.0
SCHO,882.0
SCBU,1141.0
SEU,1043.0
SK,965.0
SOAD,456.0
SW,488.0
SGF,1357.0
SMG,1427.0
STM,1045.0
STCH,1383.0
TK,658.0
TW,938.0
TOUR,165.0
TRI,656.0
TU,1109.0
UZ,1177.0
VERN,219.0
VVFU,143.0
VEY,192.0
WAE,1004.0
WAA,554.0
WIL,1218.0
WIN,971.0
W,1042.0
WUER,855.0
YND,128.0
ZB,1212.0
ZGPP,935.0
ZHDB,940.0
ZWIP,940.0
ZWOL,939.0
POR,276.0
PRMA,79.0
RMZ,1075.0
RZO,1049.0
RAET,1076.0
REID,685.0
RCK,1427.0
RIAZ,1121.0
ROM,170.0
RBG,824.0
RUES,938.0
SN,1084.0
LSA,71.0
SCME,1142.0
SCHD,1209.0
SEL,456.0
SKY,1042.0
SE,777.0
SINS,876.0
SIR,1182.0
SOM,624.0
SV,206.0
SG,1357.0
STR,1113.0
STRI,904.0
SL,407.0
SM,188.0
TAEN,1183.0
TAEG,1255.0
TAN,23.0
TD,1106.0
TA,336.0
TER,192.0
TH,511.0
TR,111.0
TG,832.0
TUE,334.0
TWN,302.0
VAL,54.0
VV,143.0
VI,636.0
WAB,849.0
WZ,1072.0
WGR,1042.0
WWAL,1043.0
WY,552.0
ZF,686.0
ZGSE,904.0
ZAS,908.0
ZOER,940.0
